chunk_ka,chunk_en,explanation,example_ka,example_en
"მე რა შუაში ვარ?","What do I have to do with it? / How am I involved?","A defensive phrase used to deny responsibility or involvement in a situation. Literally, 'what am I in the middle of?'.","ეს თქვენი პრობლემაა, მე რა შუაში ვარ?","This is your problem, what do I have to do with it?"
"გააჩნია","It depends","An incredibly common and useful one-word response. It's used when the answer to a question isn't simple and depends on other factors. A cornerstone of everyday conversation.","- რომელი ფილმი ჯობია? - გააჩნია, რა ჟანრი მოგწონს.","- Which movie is better? - It depends on what genre you like."
"ერთი მხრივ... მეორე მხრივ...","On the one hand... on the other hand...","A classic structure for presenting two contrasting sides of an argument or situation. Essential for balanced discussions.","ერთი მხრივ, ქალაქში ცხოვრება მოსახერხებელია, მეორე მხრივ კი, ძალიან ხმაურიანია.","On the one hand, living in the city is convenient, but on the other hand, it's very noisy."
"არასწორად არ გამიგო","Don't get me wrong","Used to preface a potentially critical or sensitive comment to ensure the listener doesn't misinterpret your intention.","არასწორად არ გამიგო, მაგრამ მგონი, სხვა გზით უნდა წავსულიყავით.","Don't get me wrong, but I think we should have gone another way."
"რით შემიძლია დაგეხმაროთ?","How can I help you?","The standard, polite phrase used by employees in shops, banks, hotels, etc., to offer assistance to a customer.","- გამარჯობა, რით შემიძლია დაგეხმაროთ? - დიახ, ამ მაისურის სხვა ზომა გაქვთ?","- Hello, how can I help you? - Yes, do you have this t-shirt in another size?"
"რას გულისხმობ?","What do you mean?","A direct question used to ask for clarification when you don't understand what someone is implying or referring to.","თქვი, რომ პრობლემაა. რას გულისხმობ?","You said there is a problem. What do you mean?"
"მოდი ასე ვთქვათ","Let's put it this way","A phrase used to introduce a rephrasing or a simpler, more direct explanation of a point.","ის ბედნიერი არ იყო. მოდი ასე ვთქვათ, ის ძალიან გაბრაზდა.","He wasn't happy. Let's put it this way, he was very angry."
"დაახლოებით","Approximately / About","Used to give an estimate rather than an exact number or time. Essential for everyday descriptions.","შეხვედრამდე დაახლოებით ერთი საათი დაგვრჩა.","We have about one hour left until the meeting."
"ეჭვი მეპარება","I doubt it","Used to express skepticism or a lack of belief that something is true or will happen.","- ფიქრობ, რომ ხვალამდე დაასრულებს? - ეჭვი მეპარება, ძალიან ბევრი სამუშაოა.","- Do you think he will finish by tomorrow? - I doubt it, it's a lot of work."
"საბოლოო ჯამში","In the end / All in all","Used to summarize a situation and give a final conclusion after considering all the factors.","ბევრი პრობლემა იყო, მაგრამ საბოლოო ჯამში, ყველაფერმა კარგად ჩაიარა.","There were many problems, but in the end, everything went well."
"ყოველ შემთხვევაში","In any case / At any rate","Used to transition or to make a final point, regardless of what has just been discussed. It often signals a return to the main topic.","შეიძლება დააგვიანოს, მაგრამ ყოველ შემთხვევაში, ჩვენ დაველოდებით.","He might be late, but in any case, we will wait."
"ოქროს გული აქვს","He/she has a heart of gold","A common idiom to describe a person who is exceptionally kind, generous, and caring.","ის ყოველთვის ყველას ეხმარება, ოქროს გული აქვს.","He always helps everyone, he has a heart of gold."
"თავიდან ბოლომდე","From beginning to end","Means 'completely' or 'entirely'. Used to describe reading a book, watching a movie, or understanding a story in its entirety.","ეს წიგნი ისე მომეწონა, რომ თავიდან ბოლომდე ერთ დღეში წავიკითხე.","I liked this book so much that I read it from beginning to end in one day."
"ადგილი არ არის","There is no room / There's no space","A literal phrase used in crowded places like a bus, car, or a full restaurant.","მანქანაში მეტი ადგილი არ არის.","There is no more room in the car."
"ამის მიუხედავად","Despite this / Nevertheless","A strong connector used to introduce a fact or action that is surprising in light of what was just said.","ძალიან ციოდა. ამის მიუხედავად, ის სასეირნოდ წავიდა.","It was very cold. Despite this, he went for a walk."
"რაც შემეხება მე","As for me / As far as I'm concerned","A phrase to pivot the conversation to your own personal opinion or situation.","არ ვიცი სხვები რას ფიქრობენ, მაგრამ რაც შემეხება მე, ეს იდეა მომწონs.","I don't know what others think, but as for me, I like this idea."
"რა თქმა უნდა, არა","Of course not","An emphatic way to say 'no'. It expresses certainty in the negative response.","- შენ გააკეთე ეს? - რა თქმა უნდა, არა!","- Did you do this? - Of course not!"
"რაც შეიძლება მეტი","As much as possible","Used to express the desire for the maximum possible quantity of something.","ვცდილობ, რაც შეიძლება მეტი წიგნი წავიკითხო.","I try to read as many books as possible."
"რაღაც ამდაგვარი","Something like that","A vague phrase used when you can't remember the exact details or want to give a general idea.","- რა უნდოდა? - სახლის ყიდვაზე ლაპარაკობდა, რაღაც ამდაგვარი.","- What did he want? - He was talking about buying a house, something like that."
"ფეხზე მკიდია","I don't give a damn (very informal)","A very informal, slightly vulgar slang expression for 'I don't care at all'. Use with caution among friends.","რას იტყვიან სხვები, ფეხზე მკიდია.","I don't give a damn what other people will say."
"გონს მოდი","Come to your senses","A command or plea for someone to stop acting foolishly or irrationally and to start thinking clearly.","ნუ სულელობ, გონს მოდი და სწორი გადაწყვეტილება მიიღე.","Don't be silly, come to your senses and make the right decision."
"სიტყვაზე მენდე","Trust my word / Take my word for it","Used when you want someone to believe you without needing further proof, based on your authority or experience.","ეს საუკეთესო რესტორანია, სიტყვაზე მენდე.","This is the best restaurant, take my word for it."
"მართალი ხარ / მართალი ბრძანდებით","You are right (informal / formal)","A fundamental phrase for agreeing with someone's statement or conclusion. Essential for validating the other person's point in a discussion.","მართალი ხარ, ამაზე ადრე უნდა გვეფიქრა.","You are right, we should have thought about this earlier."
"მე ასე არ ვფიქრობ","I don't think so","A standard and polite way to express disagreement with someone's opinion. It's less confrontational than saying 'you're wrong'.","ბევრი ამბობს, რომ ფილმი კარგია, მაგრამ მე ასე არ ვფიქრობ.","Many people say the movie is good, but I don't think so."
"გცალია? / გცალიათ?","Are you free? (informal / formal)","The most common and direct way to ask if someone has free time, usually before making a suggestion or an invitation.","ხვალ საღამოს გცალია? კაფეში ხომ არ წავსულიყავით?","Are you free tomorrow evening? Should we maybe go to a cafe?"
"რა გეგმები გაქვს?","What are your plans?","A standard question to ask about someone's intentions, either for the near future (like the weekend) or in general.","შაბათ-კვირას რა გეგმები გაქვს?","What are your plans for the weekend?"
"კარგად ჟღერს","Sounds good","A positive, informal response to a suggestion or proposal. It shows that you like the idea and are likely to agree.","- საღამოს კინოში წავიდეთ? - კარგად ჟღერს!","- Should we go to the cinema in the evening? - Sounds good!"
"ნერვებს მიშლის","It gets on my nerves","A common, strong expression to say that something is very irritating or annoying.","ეს მუდმივი ხმაური ნერვებს მიშლის.","This constant noise gets on my nerves."
"კარგ ხასიათზე ვარ","I am in a good mood","A simple and common way to express your positive emotional state.","დღეს მზიანი ამინდია და კარგ ხასიათზე ვარ.","The weather is sunny today and I'm in a good mood."
"არავითარ შემთხვევაში","Under no circumstances / Absolutely not","The most emphatic way to refuse something or to say that something should never happen.","არავითარ შემთხვევაში არ დააგვიანო.","Do not be late under any circumstances."
"შევხვდეთ","Let's meet","The standard phrase for proposing a meeting with someone. Often followed by a time or place.","ხვალ, 5 საათზე, კაფესთან შევხვდეთ.","Let's meet tomorrow at 5 o'clock near the cafe."
"ამაზე გამახსენდა...","That reminds me...","A perfect conversational tool to smoothly introduce a new topic that has been triggered by something just said.","ამაზე გამახსენდა, შენთვის რაღაც მაქვს სათქმელი.","That reminds me, I have something to tell you."
"შეგიძლია დამეხმარო?","Can you help me?","The basic and essential question for asking for assistance. Use 'შეგიძლიათ' for the formal version.","ბოდიში, შეგიძლია დამეხმარო? ეს ჩანთა ძალიან მძიმეა.","Excuse me, can you help me? This bag is very heavy."
"სამწუხაროდ","Unfortunately","A discourse marker used at the beginning of a sentence to introduce bad news or a point of regret.","სამწუხაროდ, დღეს ვერ მოვალ.","Unfortunately, I can't come today."
"საბედნიეროდ","Fortunately / Luckily","The opposite of 'სამწუხაროდ', used to introduce good news or a fortunate outcome, often in contrast to a potential negative one.","ავტობუსმა დააგვიანა, მაგრამ საბედნიეროდ, მაინც მოვასწარი.","The bus was late, but luckily, I still made it on time."
"წიწილებს შემოდგომაზე ითვლიან","They count the chickens in the autumn","The Georgian equivalent of 'Don't count your chickens before they hatch.' A proverb advising not to be too confident about a good outcome before it actually happens.","- გამოცდას აუცილებლად ჩააბარებ! - ჯერ ადრეა თქმა, წიწილებს შემოდგომაზე ითვლიან.","- You will definitely pass the exam! - It's too early to say, let's not count our chickens before they hatch."
"ერთი გასროლით ორ კურდღელს დაიჭერ","You'll catch two rabbits with one shot","The direct equivalent of 'To kill two birds with one stone.' An idiom for achieving two goals with a single action.","თუ ქალაქში წახვალ, შენს მეგობარსაც ნახავ და საყიდლებზეც წახვალ - ერთი გასროლით ორ კურდღელს დაიჭერ.","If you go to the city, you'll see your friend and go shopping - you'll kill two birds with one stone."
"რაც იქნება, იქნება","Whatever will be, will be","An expression of resignation or acceptance of fate, used when you have no control over a future outcome.","არ ვიცი, რა მოხდება. რაც იქნება, იქნება.","I don't know what will happen. Whatever will be, will be."
"დროებითი მოვლენაა","It's a temporary phenomenon","A phrase used to reassure someone (or oneself) that a difficult or negative situation will not last forever.","ეს კრიზისი დროებითი მოვლენაა, მალე ყველაფერი დალაგდება.","This crisis is a temporary phenomenon, everything will settle down soon."
"საერთო ენა გამოვნახეთ","We found a common language","An idiom meaning that people have found a way to understand each other and agree, despite previous differences.","თავიდან ბევრს ვკამათობდით, მაგრამ ბოლოს საერთო ენა გამოვნახეთ.","At first we argued a lot, but in the end we found a common language."
"გასაგებია","It's understandable / Got it","A very common response that signifies you have understood what was said. It can mean both 'I understand the information' and 'The reason is clear'.","- ვერ მოვდივარ, რადგან საქმე მაქვს. - გასაგებია, არა უშავს.","- I can't come because I have work. - Got it, no problem."
"რა სისულელეა!","What nonsense! / How stupid!","A strong exclamation used to dismiss something as completely illogical, foolish, or untrue.","ის ამბობს, რომ დედამიწა ბრტყელია. რა სისულელეა!","He says the Earth is flat. What nonsense!"
"შენზეა დამოკიდებული","It's up to you / It depends on you","Used to give the responsibility for a decision to someone else.","სად წავიდეთ, შენზეა დამოკიდებული.","Where we go is up to you."
"როგორმე","Somehow","Indicates that an action will be performed by some means, even if it's difficult or the method isn't clear yet.","არ ვიცი, როგორ, მაგრამ ამ პრობლემას როგორმე მოვაგვარებ.","I don't know how, but I will solve this problem somehow."
"ხომ მშვიდობაა?","Is everything alright? / I hope all is well.","A concerned way to ask if things are okay, especially when someone seems unusually quiet, sad, or if a situation feels tense. It's a gentler way of asking 'What's wrong?'.","მთელი დღეა ხმა არ ამოგიღია. ხომ მშვიდობაა?","You haven't said a word all day. Is everything alright?"
"გაითვალისწინე / გაითვალისწინეთ","Keep in mind / Take into account (informal / formal)","Used to give advice or a warning, asking the listener to consider a specific fact before acting.","გაითვალისწინე, რომ გზაზე დიდი მოძრაობა იქნება და ადრე გამოდი სახლიდან.","Keep in mind that there will be heavy traffic, so leave home early."
"როგორ თუ...?","How can it be that...? / What do you mean...?","An expression of strong surprise, disbelief, and often protest. It challenges the statement that was just made.","- ამ პროექტს ვაუქმებთ. - როგორ თუ ვაუქმებთ? ამდენი ვიშრომეთ!","- We are canceling this project. - What do you mean we're canceling it? We worked so hard!"
"სიტყვები არ მყოფნის","Words aren't enough / I'm speechless","Used to express an overwhelming feeling—such as immense gratitude, awe, shock, or sorrow—that is too strong to be adequately described with words.","ისეთი სილამაზე დავინახე, სიტყვები არ მყოფნის.","I saw such beauty, I'm speechless."
"ჩემდა გასაკვირად","To my surprise","A perfect sentence starter for describing an event or outcome that was completely unexpected.","მეგონა, ყველა ჩემს წინააღმდეგი იქნებოდა, მაგრამ ჩემდა გასაკვირად, ბევრმა დამიჭირა მხარი.","I thought everyone would be against me, but to my surprise, many people supported me."
"სულაც არა","Not at all","A strong and definitive way to negate something. It's a more emphatic version of 'არა' (no) or 'არ არის' (it is not).","- გაბრაზდი? - სულაც არა, უბრალოდ დავიღალე.","- Are you angry? - Not at all, I'm just tired."
"თავს ნუ იწუხებ","Don't bother / Don't trouble yourself","A polite way to refuse an offer of help, especially if the task seems difficult for the other person. You are telling them not to go to any trouble.","- მე წავალ მაღაზიაში. - არა, თავს ნუ იწუხებ, მე თვითონ მივხედავ.","- I'll go to the store. - No, don't bother yourself, I'll take care of it myself."
"მოკლედ და კონკრეტულად","Briefly and to the point / In a nutshell","Used to request or to promise a short, direct explanation without unnecessary details.","გთხოვ, მოკლედ და კონკრეტულად ამიხსნა, რა მოხდა.","Please, explain to me briefly and to the point what happened."
"თავი დამანებე","Leave me alone","A very direct and strong phrase used when you want someone to stop bothering you. Can sound harsh depending on the tone.","ძალიან დაკავებული ვარ, გთხოვ, თავი დამანებე.","I'm very busy, please, leave me alone."
"არაფრით არ შემიძლია","There's no way I can / I absolutely cannot","The strongest way to say you are unable to do something. It implies that it's completely impossible for you.","ბოდიში, მაგრამ ხვალ ვერ წამოვალ. არაფრით არ შემიძლია.","Sorry, but I can't come tomorrow. There's no way I can."
"ცუდი არ იქნება","It wouldn't be a bad idea","A gentle and indirect way to make a suggestion. It implies the idea is good without being too assertive.","კარგი ამინდია, ცუდი არ იქნება, თუ ცოტას გავისეირნებთ.","It's nice weather, it wouldn't be a bad idea if we went for a little walk."
"როგორც იტყვიან","As they say","Used to introduce a common proverb, saying, or cliché. It's the equivalent of 'as the saying goes'.","როგორც იტყვიან, ჯანმრთელობა ყველაზე დიდი სიმდიდრეა.","As they say, health is the greatest wealth."
"გული მისკდება","My heart is bursting / I'm terrified","An idiom expressing extreme fear, anxiety, or sometimes intense excitement. Literally 'my heart is bursting/exploding'.","როცა სიმაღლიდან ვიყურები, გული მისკდება.","When I look down from a height, I'm terrified."
"შენი ჭირიმე","Let me take your pain (term of endearment)","A quintessentially Georgian expression of deep love, affection, and care. It has no direct English translation but is used like 'my dear', 'darling', 'bless you'. It is used with people you are very close to.","შენი ჭირიმე, როგორ გამახარე შენი მოსვლით!","My dear, you've made me so happy by coming!"
"გენაცვალე","I'll substitute for you (term of endearment)","Similar to 'შენი ჭირიმე', this is a ubiquitous term of endearment that expresses affection and appreciation. It can be used more broadly, even with friendly strangers.","დიდი მადლობა, გენაცვალე, ძალიან დამეხმარე.","Thank you so much, my dear, you helped me a lot."
"მაგრად","Cool / Awesome / A lot (informal)","A very versatile and common slang word. It can mean 'cool' (მაგარია!), 'very' or 'a lot' (მაგრად მომწონს - I like it a lot), or 'well' (მაგრად გააკეთე - you did it well).","ეს ფილმი მაგრად მომეწონა.","I liked this movie a lot."
"რა უცნაურია","How strange / How odd","An expression used to react to something unusual, unexpected, or peculiar.","მთელი დღე მზე იყო, ახლა კი უცებ წვიმა წამოვიდა. რა უცნაურია.","It was sunny all day, and now suddenly it started raining. How strange."
"საერთოდ","In general / At all","This word has two main uses: 1. 'In general' or 'generally speaking'. 2. With a negative, it means 'at all' (საერთოდ არ - not at all).","საერთოდ, ადრე ვდგები, მაგრამ დღეს მეძინა.","In general, I wake up early, but today I overslept."
"ყურადღებით იყავი","Be careful / Pay attention","A command or piece of advice telling someone to be cautious and aware of their surroundings or actions.","გზაზე გადასვლისას ყურადღებით იყავი.","Be careful when crossing the road."
"კარგი იდეაა","That's a good idea","A straightforward and positive response to a suggestion. Universally useful in planning or brainstorming.","- მოდი, პარკში გავისეირნოთ. - კარგი იდეაა!","- Let's go for a walk in the park. - That's a good idea!"
"ძალიან კარგი","Very good / Great","A common expression of approval for a result, an action, or a piece of news. More emphatic than just 'კარგი'.","გამოცდა ჩააბარე? ძალიან კარგი!","You passed the exam? Great!"
"რა მოხდა?","What happened?","A direct question used to ask about a specific event that has already occurred. It is the past-tense equivalent of 'რა ხდება?' (What's happening?).","რატომ ხარ მოწყენილი, რა მოხდა?","Why are you sad, what happened?"
"რა ხდება შენთან?","What's going on with you? / What's up with you?","An informal, personal question to check in with a friend, asking for an update on their life or situation.","დიდი ხანია არ მინახიხარ. რა ხდება შენთან?","I haven't seen you in a long time. What's going on with you?"
"შენ როგორ ფიქრობ?","What do you think?","An essential phrase for inviting someone else's opinion into a conversation. Use 'თქვენ როგორ ფიქრობთ?' for the formal version.","მე მგონი, ეს სწორია, მაგრამ შენ როგორ ფიქრობ?","I think this is correct, but what do you think?"
"რას იტყვი?","What do you say?","An informal way to ask for someone's opinion on a proposal or suggestion. It's like saying 'How about it?'.","ხვალ მთაში რომ წავიდეთ, რას იტყვი?","What do you say we go to the mountains tomorrow?"
"მართლა არ ვიცი","I really don't know","An emphatic way of stating you don't have the information. The word 'მართლა' (really) adds sincerity or a touch of desperation.","- სად არის ჩემი გასაღები? - მართლა არ ვიცი, არ მინახავს.","- Where are my keys? - I really don't know, I haven't seen them."
"არა მჯერა","I don't believe it","An expression of shock, surprise, or disbelief in response to a piece of news or a story.","- ლატარიაში მოვიგე! - არა მჯერა! მართლა?","- I won the lottery! - I don't believe it! Really?"
"ალბათ","Probably / Maybe","A fundamental word for expressing uncertainty or probability.","- ხვალ მოხვალ? - ალბათ, ზუსტად არ ვიცი.","- Will you come tomorrow? - Probably, I don't know for sure."
"ძალიან გთხოვ","Please (I beg you)","A more intense and pleading way of saying 'please' than 'თუ შეიძლება'. Used when you really need someone to do something.","ძალიან გთხოვ, ამ ერთხელ დამეხმარე.","I beg you, help me this one time."
"გმადლობთ წინასწარ","Thanks in advance","A polite phrase used in writing (like emails) or speech when you thank someone for a help they are about to give.","თუ შეგიძლიათ, ეს საბუთები გამომიგზავნეთ. გმადლობთ წინასწარ.","If you can, please send me these documents. Thanks in advance."
"ნუ ღელავ","Don't worry","A common and reassuring phrase to calm someone down. Use 'ნუ ღელავთ' for the formal/plural version.","ყველაფერი კარგად იქნება, ნუ ღელავ.","Everything will be fine, don't worry."
"იცი რა...","You know what...","A classic conversational opener used to introduce a new idea, suggestion, or realization.","იცი რა, მოდი, ამაღამ პიცა შევუკვეთოთ.","You know what, let's order a pizza tonight."
"სხვანაირად რომ ვთქვათ","In other words","Used to rephrase a statement to make it clearer or to put it in a different way. It is a direct synonym of 'სხვა სიტყვებით რომ ვთქვათ'.","ის არ იყო კმაყოფილი, სხვანაირად რომ ვთქვათ, ძალიან გაბრაზდა.","He was not satisfied; in other words, he got very angry."
"ერთი სიტყვით","In a word / In short","Used to summarize a longer story or explanation into a single, conclusive point. Similar to 'მოკლედ'.","ბევრი ვილაპარაკეთ და, ერთი სიტყვით, შევთანხმდით.","We talked a lot and, in short, we agreed."
"რაც არის, არის","It is what it is","An expression of acceptance for a situation that cannot be changed.","სამწუხაროდ, გამოცდა ვერ ჩავაბარე. მაგრამ რაც არის, არის.","Unfortunately, I didn't pass the exam. But it is what it is."
"გული მიგრძნობს","I have a feeling... / My gut tells me...","An idiomatic expression for having a strong intuition or premonition about something, good or bad.","გული მიგრძნობს, რომ ეს კარგი დღე იქნება.","I have a feeling this will be a good day."
"თავში არ მომდის","It's not coming to mind","The perfect phrase for when you know something (like a name or a word) but can't recall it at the moment.","მისი სახელი მახსოვდა, მაგრამ ახლა თავში არ მომდის.","I remembered his name, but it's not coming to mind right now."
"სჯობს გვიან, ვიდრე არასდროს","Better late than never","A proverb used to acknowledge that doing something late is still better than not doing it at all.","ბოდიში დაგვიანებისთვის. სჯობს გვიან, ვიდრე არასდროს.","Sorry for being late. Better late than never."
"რა დათესე, იმას მოიმკი","You reap what you sow","A well-known proverb meaning that you will eventually face the consequences of your past actions, good or bad.","მთელი წელი არ სწავლობდა და გამოცდაში ჩაიჭრა. რა დათესე, იმას მოიმკი.","He didn't study all year and failed the exam. You reap what you sow."
"ვინც ეძებს, ის პოულობს","He who seeks, finds","A proverb that encourages persistence, suggesting that if you actively look for something, you will eventually find it.","არ დანებდე, განაგრძე მუშაობა. ვინც ეძებს, ის პოულობს.","Don't give up, keep working. He who seeks, finds."
"კარგი დასაწყისი საქმის ნახევარია","A good beginning is half the work","A proverb emphasizing the importance of starting a task well. This is the correct Georgian version of the hybrid phrase you provided.","პროექტი კარგად დავგეგმოთ. კარგი დასაწყისი საქმის ნახევარია.","Let's plan the project well. A good beginning is half the work."
"ცალი ხელით ტაშს ვერ დავკრავ","You can't clap with one hand","An idiom meaning that some actions require two people or two parties to work. It's often used in the context of cooperation, arguments, or relationships.","შერიგება ორივეს უნდა უნდოდეს, ცალი ხელით ტაშს ვერ დავკრავ.","Both sides must want to reconcile; you can't clap with one hand."
"აი ხომ გითხარი","See, I told you so","A classic phrase used when your prediction or warning turns out to be correct. It has a slightly gloating but often friendly tone.","მან გამოცდა ვერ ჩააბარა. აი ხომ გითხარი, რომ უნდა ესწავლა.","He didn't pass the exam. See, I told you he should have studied."
"როგორ არა!","Of course! / What do you mean, no?!","An emphatic way to say 'yes', typically in response to a negative question or a statement implying something isn't true. It expresses surprise at the question.","- შენ ხინკალი არ გიყვარს? - როგორ არა! ძალიან მიყვარს.","- You don't like Khinkali? - Of course I do! I love it."
"აბა რა ვქნა?","What else can I do?","A rhetorical question expressing helplessness or lack of alternatives in a situation.","ავტობუსი წავიდა, აბა რა ვქნა? ახალს უნდა დაველოდო.","The bus left, what else can I do? I have to wait for the next one."
"ეგრევე","Right away / Immediately","A common adverb indicating that an action happens instantly, without any delay.","როგორც კი სახლში მივალ, ეგრევე დაგირეკავ.","As soon as I get home, I'll call you right away."
"აი, ზუსტად!","Exactly! / Precisely!","An exclamation of strong agreement, used when someone perfectly articulates your own thought.","- მგონი, პრობლემა კომუნიკაციაშია. - აი, ზუსტად! მეც მაგას ვფიქრობ.","- I think the problem is in communication. - Exactly! That's what I think too."
"ბოდიშით, რომ გაწუხებთ","Sorry to bother you","The standard polite phrase to use before interrupting someone or asking them for a favor.","ბოდიშით, რომ გაწუხებთ, მაგრამ შეგიძლიათ მითხრათ, რომელი საათია?","Sorry to bother you, but could you tell me what time it is?"
"კარგ დღეს გისურვებ","Have a nice day","The most common and polite way to wish someone well when parting for the day.","დროებით! კარგ დღეს გისურვებ.","See you later! Have a nice day."
"ვაიმე!","Oh my! / Ouch! / Wow!","A highly versatile and common exclamation for a wide range of emotions: surprise (good or bad), pain, shock, or sudden realization.","ვაიმე, გასაღები სახლში დამრჩა!","Oh my, I left my keys at home!"
"რავიცი (რა ვიცი)","I dunno / I don't know (casual)","A very common, informal filler response that acts as a verbal shrug. It's the casual equivalent of 'არ ვიცი'.","- რას აპირებ შაბათს? - რავიცი, ჯერ არ გადამიწყვეტია.","- What are you planning on Saturday? - I dunno, I haven't decided yet."
"ხოდა...","So... / So then...","An essential conversational connector that links a previous statement to the next logical step, thought, or consequence.","გარეთ წვიმდა, ხოდა ჩვენც სახლში დავრჩით.","It was raining outside, so we stayed home."
"რას იზამ","What can you do? / It is what it is.","A phrase of resignation, used to accept an unchangeable, often unfortunate, situation. Similar to 'რაც არის, არის'.","სამსახური დავკარგე, მაგრამ რას იზამ, ახალს ვიპოვი.","I lost my job, but what can you do, I'll find a new one."
"თავზე საყრელია","There's plenty of it / It's abundant","An idiom meaning there is a very large, more-than-sufficient quantity of something. Literally 'it's to be poured on one's head'.","ნუ ღელავ, საჭმელი თავზე საყრელია.","Don't worry, there's plenty of food."
"თავგზა ამერია","I got all confused","An idiom for becoming completely confused or disoriented by a situation or information. Literally 'my head-path got mixed up'.","იმდენი ახალი ინფორმაცია მივიღე, რომ თავგზა ამერია.","I received so much new information that I got all confused."
"ტვინი წაიღე","You're driving me crazy (informal)","A very common, informal idiom used when someone is being extremely annoying. Literally 'you took the brain away'.","მთელი დღეა ერთსა და იმავე კითხვას მისვამ, ტვინი წაიღე!","You've been asking me the same question all day, you're driving me crazy!"
"ხელი ხელს ბანს","One hand washes the other","A proverb explaining that mutual help is beneficial. It can be used for both positive cooperation and sometimes for corrupt arrangements.","შენ მე დამეხმარე, მე შენ დაგეხმარები. ხელი ხელს ბანს.","You help me, I'll help you. One hand washes the other."
"შევთანხმდით","We have a deal / Agreed","The perfect way to confirm that an agreement or plan has been reached between two or more people.","- ანუ ხვალ 6-ზე ვხვდებით? - კი, შევთანხმდით!","- So we're meeting tomorrow at 6? - Yes, agreed!"
"ნამდვილად","Indeed / Definitely / For real","A strong word of confirmation, used to add certainty to a statement or to agree emphatically with someone.","- ეს საუკეთესო ხაჭაპურია, რაც კი გამისინჯავს. - ნამდვილად!","- This is the best Khachapuri I've ever tasted. - Definitely!"
"რა შუაშია?","What does that have to do with it?","A question used to point out that something is irrelevant to the current topic of conversation. The more aggressive version of 'არაფერ შუაშია'.","ჩვენ ფილმზე ვლაპარაკობთ, ამინდი რა შუაშია?","We're talking about the movie, what does the weather have to do with it?"
"არ გრცხვენია?","Aren't you ashamed?","A rhetorical question used to scold someone or express disapproval of their actions. It's a common way for parents or elders to correct behavior.","ამდენი ტყუილი რომ თქვი, არ გრცხვენია?","Aren't you ashamed for telling so many lies?"
"პირიქით, გმადლობ","On the contrary, thank YOU","A very polite and warm response, often used when someone thanks you for something that you also enjoyed or benefited from.","- მადლობა, რომ მომიყვანე. - პირიქით, გმადლობ, რომ წამომყევი.","- Thanks for bringing me. - On the contrary, thank YOU for coming with me."
"ჰო / ხო","Yeah / Right","The most common informal agreement filler. 'ხო' is very often used at the end of a sentence to seek confirmation, like '..., right?'. 'ჰო' is a simple 'yeah'."," - მზად ხარ? - ჰო, წავედით. / შენ ხვალ მოდიხარ, ხომ?","- Are you ready? - Yeah, let's go. / You're coming tomorrow, right?"
"აუ","Oh / Ugh / Wow","An extremely common, versatile exclamation. Tone is everything. It can express disappointment (აუ, რა ცუდია), frustration (აუ, თავი დამანებე), or pleasant surprise (აუ, რა მაგარია!).","აუ, ტელეფონი სახლში დამრჩა!","Ugh, I left my phone at home!"
"მერე რა","So what? / Big deal.","A dismissive phrase used to downplay the importance or consequence of something. It can be defiant or casual depending on tone.","- დაგაგვიანდა. - მერე რა, მხოლოდ 5 წუთით.","- You're late. - So what? Only by 5 minutes."
"სერიოზულად?","Seriously?","A universal reaction of disbelief or surprise, used to confirm if someone is being truthful or joking.","- სამსახურიდან წამოვედი. - სერიოზულად? რატომ?","- I quit my job. - Seriously? Why?"
"არ არსებობს!","No way! / Impossible!","A strong exclamation of disbelief or shock when hearing incredible news. Literally 'it does not exist'.","- მან ლატარიაში მილიონი მოიგო! - არ არსებობს! მართლა?","- He won a million in the lottery! - No way! Really?"
"გული დამწყდა","I was heartbroken / I was disappointed","Expresses feelings of sadness or being let down. Can range from mild disappointment to serious heartbreak. Literally 'my heart was broken/cut'.","გული დამწყდა, როცა გავიგე, რომ წვეულებაზე ვერ მოდიოდი.","I was disappointed when I heard you couldn't come to the party."
"ეს იმას ნიშნავს, რომ...","This means that...","A crucial phrase for explaining consequences, drawing conclusions, or clarifying the meaning of something.","მაღაზია დაკეტილია. ეს იმას ნიშნავს, რომ პურს ვერ ვიყიდით.","The store is closed. This means that we can't buy bread."
"ასე ვთქვათ","Let's put it this way / So to speak","A discourse marker used to introduce a rephrasing, a summary, or a more direct way of saying something.","ის არ იყო ბედნიერი. ასე ვთქვათ, გაბრაზებული იყო.","He wasn't happy. Let's put it this way, he was angry."
"რა გითხრა...","What can I say...","A common filler phrase used when you're hesitating, don't know what to say, or are about to deliver some complex or slightly unwelcome news.","- როგორი იყო შეხვედრა? - რა გითხრა... არც ისე კარგი.","- How was the meeting? - What can I say... not so good."
"გესმის?","Do you understand? / You get me?","A way to check if the listener is following your explanation. Can be a genuine question or an informal 'you know?'. Use 'გესმით?' formally.","ჯერ ეს უნდა გააკეთო, და მერე ის. გესმის?","First you have to do this, and then that. You get me?"
"შენ წარმოიდგინე","Imagine that! / Believe it or not...","An expression used to introduce a piece of information that is surprising or contrary to expectation.","მეგონა, გამოცდას ვერ ჩააბარებდა, მაგრამ, შენ წარმოიდგინე, უმაღლესი ქულა მიიღო.","I thought he wouldn't pass the exam, but, believe it or not, he got the highest score."
